date,day,month,year,res_stor_af
3/30/2015,30,3,2015,
3/31/2015,31,3,2015,
4/1/2015,1,4,2015,
4/2/2015,2,4,2015,
4/3/2015,3,4,2015,
4/4/2015,4,4,2015,
4/5/2015,5,4,2015,
4/6/2015,6,4,2015,
4/7/2015,7,4,2015,
4/8/2015,8,4,2015,
4/9/2015,9,4,2015,
4/10/2015,10,4,2015,
4/11/2015,11,4,2015,
4/12/2015,12,4,2015,
4/13/2015,13,4,2015,
4/14/2015,14,4,2015,
4/15/2015,15,4,2015,
4/16/2015,16,4,2015,
4/17/2015,17,4,2015,
4/18/2015,18,4,2015,
4/19/2015,19,4,2015,
4/20/2015,20,4,2015,
4/21/2015,21,4,2015,
4/22/2015,22,4,2015,
4/23/2015,23,4,2015,
4/24/2015,24,4,2015,
4/25/2015,25,4,2015,
4/26/2015,26,4,2015,
4/27/2015,27,4,2015,
4/28/2015,28,4,2015,
4/29/2015,29,4,2015,
4/30/2015,30,4,2015,
5/1/2015,1,5,2015,
5/2/2015,2,5,2015,
5/3/2015,3,5,2015,
5/4/2015,4,5,2015,
5/5/2015,5,5,2015,
5/6/2015,6,5,2015,
5/7/2015,7,5,2015,
5/8/2015,8,5,2015,
5/9/2015,9,5,2015,
5/10/2015,10,5,2015,
5/11/2015,11,5,2015,
5/12/2015,12,5,2015,
5/13/2015,13,5,2015,
5/14/2015,14,5,2015,
5/15/2015,15,5,2015,
5/16/2015,16,5,2015,
5/17/2015,17,5,2015,
5/18/2015,18,5,2015,
5/19/2015,19,5,2015,
5/20/2015,20,5,2015,
5/21/2015,21,5,2015,
5/22/2015,22,5,2015,
5/23/2015,23,5,2015,
5/24/2015,24,5,2015,
5/25/2015,25,5,2015,
5/26/2015,26,5,2015,
5/27/2015,27,5,2015,
5/28/2015,28,5,2015,
5/29/2015,29,5,2015,
5/30/2015,30,5,2015,
5/31/2015,31,5,2015,
6/1/2015,1,6,2015,
6/2/2015,2,6,2015,
6/3/2015,3,6,2015,
6/4/2015,4,6,2015,
6/5/2015,5,6,2015,
6/6/2015,6,6,2015,
6/7/2015,7,6,2015,
6/8/2015,8,6,2015,
6/9/2015,9,6,2015,
6/10/2015,10,6,2015,
6/11/2015,11,6,2015,
6/12/2015,12,6,2015,
6/13/2015,13,6,2015,
6/14/2015,14,6,2015,
6/15/2015,15,6,2015,
6/16/2015,16,6,2015,
6/17/2015,17,6,2015,
6/18/2015,18,6,2015,
6/19/2015,19,6,2015,
6/20/2015,20,6,2015,
6/21/2015,21,6,2015,
6/22/2015,22,6,2015,
6/23/2015,23,6,2015,
6/24/2015,24,6,2015,
6/25/2015,25,6,2015,
6/26/2015,26,6,2015,
6/27/2015,27,6,2015,
6/28/2015,28,6,2015,
6/29/2015,29,6,2015,
6/30/2015,30,6,2015,
7/1/2015,1,7,2015,
7/2/2015,2,7,2015,
7/3/2015,3,7,2015,
7/4/2015,4,7,2015,
7/5/2015,5,7,2015,
7/6/2015,6,7,2015,
7/7/2015,7,7,2015,
7/8/2015,8,7,2015,
7/9/2015,9,7,2015,
7/10/2015,10,7,2015,
7/11/2015,11,7,2015,
7/12/2015,12,7,2015,
7/13/2015,13,7,2015,
7/14/2015,14,7,2015,
7/15/2015,15,7,2015,
7/16/2015,16,7,2015,
7/17/2015,17,7,2015,
7/18/2015,18,7,2015,
7/19/2015,19,7,2015,
7/20/2015,20,7,2015,
7/21/2015,21,7,2015,
7/22/2015,22,7,2015,
7/23/2015,23,7,2015,
7/24/2015,24,7,2015,
7/25/2015,25,7,2015,
7/26/2015,26,7,2015,
7/27/2015,27,7,2015,
7/28/2015,28,7,2015,
7/29/2015,29,7,2015,
7/30/2015,30,7,2015,
7/31/2015,31,7,2015,
8/1/2015,1,8,2015,
8/2/2015,2,8,2015,
8/3/2015,3,8,2015,
8/4/2015,4,8,2015,
8/5/2015,5,8,2015,
8/6/2015,6,8,2015,
8/7/2015,7,8,2015,
8/8/2015,8,8,2015,
8/9/2015,9,8,2015,
8/10/2015,10,8,2015,
8/11/2015,11,8,2015,
8/12/2015,12,8,2015,
8/13/2015,13,8,2015,
8/14/2015,14,8,2015,
8/15/2015,15,8,2015,
8/16/2015,16,8,2015,
8/17/2015,17,8,2015,
8/18/2015,18,8,2015,
8/19/2015,19,8,2015,
8/20/2015,20,8,2015,
8/21/2015,21,8,2015,
8/22/2015,22,8,2015,
8/23/2015,23,8,2015,
8/24/2015,24,8,2015,
8/25/2015,25,8,2015,
8/26/2015,26,8,2015,
8/27/2015,27,8,2015,
8/28/2015,28,8,2015,
8/29/2015,29,8,2015,
8/30/2015,30,8,2015,
8/31/2015,31,8,2015,
9/1/2015,1,9,2015,
9/2/2015,2,9,2015,
9/3/2015,3,9,2015,
9/4/2015,4,9,2015,
9/5/2015,5,9,2015,
9/6/2015,6,9,2015,
9/7/2015,7,9,2015,
9/8/2015,8,9,2015,
9/9/2015,9,9,2015,
9/10/2015,10,9,2015,
9/11/2015,11,9,2015,
9/12/2015,12,9,2015,
9/13/2015,13,9,2015,
9/14/2015,14,9,2015,
9/15/2015,15,9,2015,
9/16/2015,16,9,2015,
9/17/2015,17,9,2015,
9/18/2015,18,9,2015,
9/19/2015,19,9,2015,
9/20/2015,20,9,2015,
9/21/2015,21,9,2015,
9/22/2015,22,9,2015,
9/23/2015,23,9,2015,
9/24/2015,24,9,2015,
9/25/2015,25,9,2015,
9/26/2015,26,9,2015,
9/27/2015,27,9,2015,
9/28/2015,28,9,2015,
9/29/2015,29,9,2015,
9/30/2015,30,9,2015,
10/1/2015,1,10,2015,
10/2/2015,2,10,2015,
10/3/2015,3,10,2015,
10/4/2015,4,10,2015,
10/5/2015,5,10,2015,
10/6/2015,6,10,2015,
10/7/2015,7,10,2015,
10/8/2015,8,10,2015,
10/9/2015,9,10,2015,
10/10/2015,10,10,2015,
10/11/2015,11,10,2015,
10/12/2015,12,10,2015,
10/13/2015,13,10,2015,
10/14/2015,14,10,2015,
10/15/2015,15,10,2015,
10/16/2015,16,10,2015,
10/17/2015,17,10,2015,
10/18/2015,18,10,2015,
10/19/2015,19,10,2015,
10/20/2015,20,10,2015,
10/21/2015,21,10,2015,
10/22/2015,22,10,2015,
10/23/2015,23,10,2015,
10/24/2015,24,10,2015,
10/25/2015,25,10,2015,
10/26/2015,26,10,2015,
10/27/2015,27,10,2015,
10/28/2015,28,10,2015,
10/29/2015,29,10,2015,
10/30/2015,30,10,2015,
10/31/2015,31,10,2015,
11/1/2015,1,11,2015,
11/2/2015,2,11,2015,
11/3/2015,3,11,2015,
11/4/2015,4,11,2015,
11/5/2015,5,11,2015,
11/6/2015,6,11,2015,
11/7/2015,7,11,2015,
11/8/2015,8,11,2015,
11/9/2015,9,11,2015,
11/10/2015,10,11,2015,
11/11/2015,11,11,2015,
11/12/2015,12,11,2015,
11/13/2015,13,11,2015,
11/14/2015,14,11,2015,
11/15/2015,15,11,2015,
11/16/2015,16,11,2015,
11/17/2015,17,11,2015,
11/18/2015,18,11,2015,
11/19/2015,19,11,2015,
11/20/2015,20,11,2015,
11/21/2015,21,11,2015,
11/22/2015,22,11,2015,
11/23/2015,23,11,2015,
11/24/2015,24,11,2015,
11/25/2015,25,11,2015,
11/26/2015,26,11,2015,
11/27/2015,27,11,2015,
11/28/2015,28,11,2015,
11/29/2015,29,11,2015,
11/30/2015,30,11,2015,
12/1/2015,1,12,2015,
12/2/2015,2,12,2015,
12/3/2015,3,12,2015,
12/4/2015,4,12,2015,
12/5/2015,5,12,2015,
12/6/2015,6,12,2015,
12/7/2015,7,12,2015,
12/8/2015,8,12,2015,
12/9/2015,9,12,2015,
12/10/2015,10,12,2015,
12/11/2015,11,12,2015,
12/12/2015,12,12,2015,
12/13/2015,13,12,2015,
12/14/2015,14,12,2015,
12/15/2015,15,12,2015,
12/16/2015,16,12,2015,
12/17/2015,17,12,2015,
12/18/2015,18,12,2015,
12/19/2015,19,12,2015,
12/20/2015,20,12,2015,
12/21/2015,21,12,2015,
12/22/2015,22,12,2015,
12/23/2015,23,12,2015,
12/24/2015,24,12,2015,
12/25/2015,25,12,2015,
12/26/2015,26,12,2015,
12/27/2015,27,12,2015,
12/28/2015,28,12,2015,
12/29/2015,29,12,2015,
12/30/2015,30,12,2015,
12/31/2015,31,12,2015,
1/1/2016,1,1,2016,
1/2/2016,2,1,2016,
1/3/2016,3,1,2016,
1/4/2016,4,1,2016,
1/5/2016,5,1,2016,
1/6/2016,6,1,2016,
1/7/2016,7,1,2016,
1/8/2016,8,1,2016,
1/9/2016,9,1,2016,
1/10/2016,10,1,2016,
1/11/2016,11,1,2016,
1/12/2016,12,1,2016,
1/13/2016,13,1,2016,
1/14/2016,14,1,2016,
1/15/2016,15,1,2016,
1/16/2016,16,1,2016,
1/17/2016,17,1,2016,
1/18/2016,18,1,2016,
1/19/2016,19,1,2016,
1/20/2016,20,1,2016,
1/21/2016,21,1,2016,
1/22/2016,22,1,2016,
1/23/2016,23,1,2016,
1/24/2016,24,1,2016,
1/25/2016,25,1,2016,
1/26/2016,26,1,2016,
1/27/2016,27,1,2016,
1/28/2016,28,1,2016,
1/29/2016,29,1,2016,
1/30/2016,30,1,2016,
1/31/2016,31,1,2016,
2/1/2016,1,2,2016,
2/2/2016,2,2,2016,
2/3/2016,3,2,2016,
2/4/2016,4,2,2016,
2/5/2016,5,2,2016,
2/6/2016,6,2,2016,
2/7/2016,7,2,2016,
2/8/2016,8,2,2016,
2/9/2016,9,2,2016,
2/10/2016,10,2,2016,
2/11/2016,11,2,2016,
2/12/2016,12,2,2016,
2/13/2016,13,2,2016,
2/14/2016,14,2,2016,
2/15/2016,15,2,2016,
2/16/2016,16,2,2016,
2/17/2016,17,2,2016,
2/18/2016,18,2,2016,
2/19/2016,19,2,2016,
2/20/2016,20,2,2016,
2/21/2016,21,2,2016,
2/22/2016,22,2,2016,
2/23/2016,23,2,2016,
2/24/2016,24,2,2016,
2/25/2016,25,2,2016,
2/26/2016,26,2,2016,
2/27/2016,27,2,2016,
2/28/2016,28,2,2016,
2/29/2016,29,2,2016,
3/1/2016,1,3,2016,
3/2/2016,2,3,2016,
3/3/2016,3,3,2016,
3/4/2016,4,3,2016,
3/5/2016,5,3,2016,
3/6/2016,6,3,2016,
3/7/2016,7,3,2016,
3/8/2016,8,3,2016,
3/9/2016,9,3,2016,
3/10/2016,10,3,2016,
3/11/2016,11,3,2016,
3/12/2016,12,3,2016,
3/13/2016,13,3,2016,
3/14/2016,14,3,2016,
3/15/2016,15,3,2016,
3/16/2016,16,3,2016,
3/17/2016,17,3,2016,
3/18/2016,18,3,2016,
3/19/2016,19,3,2016,
3/20/2016,20,3,2016,
3/21/2016,21,3,2016,
3/22/2016,22,3,2016,
3/23/2016,23,3,2016,
3/24/2016,24,3,2016,
3/25/2016,25,3,2016,
3/26/2016,26,3,2016,
3/27/2016,27,3,2016,
3/28/2016,28,3,2016,
3/29/2016,29,3,2016,
3/30/2016,30,3,2016,
3/31/2016,31,3,2016,
4/1/2016,1,4,2016,
4/2/2016,2,4,2016,
4/3/2016,3,4,2016,
4/4/2016,4,4,2016,
4/5/2016,5,4,2016,
4/6/2016,6,4,2016,
4/7/2016,7,4,2016,
4/8/2016,8,4,2016,
4/9/2016,9,4,2016,
4/10/2016,10,4,2016,
4/11/2016,11,4,2016,
4/12/2016,12,4,2016,
4/13/2016,13,4,2016,
4/14/2016,14,4,2016,
4/15/2016,15,4,2016,
4/16/2016,16,4,2016,
4/17/2016,17,4,2016,
4/18/2016,18,4,2016,
4/19/2016,19,4,2016,
4/20/2016,20,4,2016,
4/21/2016,21,4,2016,
4/22/2016,22,4,2016,
4/23/2016,23,4,2016,
4/24/2016,24,4,2016,
4/25/2016,25,4,2016,
4/26/2016,26,4,2016,
4/27/2016,27,4,2016,
4/28/2016,28,4,2016,
4/29/2016,29,4,2016,
4/30/2016,30,4,2016,
5/1/2016,1,5,2016,
5/2/2016,2,5,2016,
5/3/2016,3,5,2016,
5/4/2016,4,5,2016,
5/5/2016,5,5,2016,
5/6/2016,6,5,2016,
5/7/2016,7,5,2016,
5/8/2016,8,5,2016,
5/9/2016,9,5,2016,
5/10/2016,10,5,2016,
5/11/2016,11,5,2016,
5/12/2016,12,5,2016,
5/13/2016,13,5,2016,
5/14/2016,14,5,2016,
5/15/2016,15,5,2016,
5/16/2016,16,5,2016,
5/17/2016,17,5,2016,
5/18/2016,18,5,2016,
5/19/2016,19,5,2016,
5/20/2016,20,5,2016,
5/21/2016,21,5,2016,
5/22/2016,22,5,2016,
5/23/2016,23,5,2016,
5/24/2016,24,5,2016,
5/25/2016,25,5,2016,
5/26/2016,26,5,2016,
5/27/2016,27,5,2016,
5/28/2016,28,5,2016,
5/29/2016,29,5,2016,
5/30/2016,30,5,2016,
5/31/2016,31,5,2016,
6/1/2016,1,6,2016,
6/2/2016,2,6,2016,
6/3/2016,3,6,2016,
6/4/2016,4,6,2016,
6/5/2016,5,6,2016,
6/6/2016,6,6,2016,
6/7/2016,7,6,2016,
6/8/2016,8,6,2016,
6/9/2016,9,6,2016,
6/10/2016,10,6,2016,
6/11/2016,11,6,2016,
6/12/2016,12,6,2016,
6/13/2016,13,6,2016,
6/14/2016,14,6,2016,
6/15/2016,15,6,2016,
6/16/2016,16,6,2016,
6/17/2016,17,6,2016,
6/18/2016,18,6,2016,
6/19/2016,19,6,2016,
6/20/2016,20,6,2016,
6/21/2016,21,6,2016,
6/22/2016,22,6,2016,
6/23/2016,23,6,2016,
6/24/2016,24,6,2016,
6/25/2016,25,6,2016,
6/26/2016,26,6,2016,
6/27/2016,27,6,2016,
6/28/2016,28,6,2016,
6/29/2016,29,6,2016,
6/30/2016,30,6,2016,
7/1/2016,1,7,2016,
7/2/2016,2,7,2016,
7/3/2016,3,7,2016,
7/4/2016,4,7,2016,
7/5/2016,5,7,2016,
7/6/2016,6,7,2016,
7/7/2016,7,7,2016,
7/8/2016,8,7,2016,
7/9/2016,9,7,2016,
7/10/2016,10,7,2016,
7/11/2016,11,7,2016,
7/12/2016,12,7,2016,
7/13/2016,13,7,2016,
7/14/2016,14,7,2016,
7/15/2016,15,7,2016,
7/16/2016,16,7,2016,
7/17/2016,17,7,2016,
7/18/2016,18,7,2016,
7/19/2016,19,7,2016,
7/20/2016,20,7,2016,
7/21/2016,21,7,2016,
7/22/2016,22,7,2016,
7/23/2016,23,7,2016,
7/24/2016,24,7,2016,
7/25/2016,25,7,2016,
7/26/2016,26,7,2016,
7/27/2016,27,7,2016,
7/28/2016,28,7,2016,
7/29/2016,29,7,2016,
7/30/2016,30,7,2016,
7/31/2016,31,7,2016,
8/1/2016,1,8,2016,
8/2/2016,2,8,2016,
8/3/2016,3,8,2016,
8/4/2016,4,8,2016,
8/5/2016,5,8,2016,
8/6/2016,6,8,2016,
8/7/2016,7,8,2016,
8/8/2016,8,8,2016,
8/9/2016,9,8,2016,
8/10/2016,10,8,2016,
8/11/2016,11,8,2016,
8/12/2016,12,8,2016,
8/13/2016,13,8,2016,
8/14/2016,14,8,2016,
8/15/2016,15,8,2016,
8/16/2016,16,8,2016,
8/17/2016,17,8,2016,
8/18/2016,18,8,2016,
8/19/2016,19,8,2016,
8/20/2016,20,8,2016,
8/21/2016,21,8,2016,
8/22/2016,22,8,2016,
8/23/2016,23,8,2016,
8/24/2016,24,8,2016,
8/25/2016,25,8,2016,
8/26/2016,26,8,2016,
8/27/2016,27,8,2016,
8/28/2016,28,8,2016,
8/29/2016,29,8,2016,
8/30/2016,30,8,2016,
8/31/2016,31,8,2016,
9/1/2016,1,9,2016,
9/2/2016,2,9,2016,
9/3/2016,3,9,2016,
9/4/2016,4,9,2016,
9/5/2016,5,9,2016,
9/6/2016,6,9,2016,
9/7/2016,7,9,2016,
9/8/2016,8,9,2016,
9/9/2016,9,9,2016,
9/10/2016,10,9,2016,
9/11/2016,11,9,2016,
9/12/2016,12,9,2016,
9/13/2016,13,9,2016,
9/14/2016,14,9,2016,
9/15/2016,15,9,2016,
9/16/2016,16,9,2016,
9/17/2016,17,9,2016,
9/18/2016,18,9,2016,
9/19/2016,19,9,2016,
9/20/2016,20,9,2016,
9/21/2016,21,9,2016,
9/22/2016,22,9,2016,
9/23/2016,23,9,2016,
9/24/2016,24,9,2016,
9/25/2016,25,9,2016,
9/26/2016,26,9,2016,
9/27/2016,27,9,2016,
9/28/2016,28,9,2016,
9/29/2016,29,9,2016,
9/30/2016,30,9,2016,
10/1/2016,1,10,2016,
10/2/2016,2,10,2016,
10/3/2016,3,10,2016,
10/4/2016,4,10,2016,
10/5/2016,5,10,2016,
10/6/2016,6,10,2016,
10/7/2016,7,10,2016,
10/8/2016,8,10,2016,
10/9/2016,9,10,2016,
10/10/2016,10,10,2016,
10/11/2016,11,10,2016,
10/12/2016,12,10,2016,
10/13/2016,13,10,2016,
10/14/2016,14,10,2016,
10/15/2016,15,10,2016,
10/16/2016,16,10,2016,
10/17/2016,17,10,2016,
10/18/2016,18,10,2016,
10/19/2016,19,10,2016,
10/20/2016,20,10,2016,
10/21/2016,21,10,2016,
10/22/2016,22,10,2016,
10/23/2016,23,10,2016,
10/24/2016,24,10,2016,
10/25/2016,25,10,2016,
10/26/2016,26,10,2016,
10/27/2016,27,10,2016,
10/28/2016,28,10,2016,
10/29/2016,29,10,2016,
10/30/2016,30,10,2016,
10/31/2016,31,10,2016,
11/1/2016,1,11,2016,
11/2/2016,2,11,2016,
11/3/2016,3,11,2016,
11/4/2016,4,11,2016,
11/5/2016,5,11,2016,
11/6/2016,6,11,2016,
11/7/2016,7,11,2016,
11/8/2016,8,11,2016,
11/9/2016,9,11,2016,
11/10/2016,10,11,2016,
11/11/2016,11,11,2016,
11/12/2016,12,11,2016,
11/13/2016,13,11,2016,
11/14/2016,14,11,2016,
11/15/2016,15,11,2016,
11/16/2016,16,11,2016,
11/17/2016,17,11,2016,
11/18/2016,18,11,2016,
11/19/2016,19,11,2016,
11/20/2016,20,11,2016,
11/21/2016,21,11,2016,
11/22/2016,22,11,2016,
11/23/2016,23,11,2016,
11/24/2016,24,11,2016,
11/25/2016,25,11,2016,
11/26/2016,26,11,2016,
11/27/2016,27,11,2016,
11/28/2016,28,11,2016,
11/29/2016,29,11,2016,
11/30/2016,30,11,2016,
12/1/2016,1,12,2016,
12/2/2016,2,12,2016,
12/3/2016,3,12,2016,
12/4/2016,4,12,2016,
12/5/2016,5,12,2016,
12/6/2016,6,12,2016,
12/7/2016,7,12,2016,
12/8/2016,8,12,2016,
12/9/2016,9,12,2016,
12/10/2016,10,12,2016,
12/11/2016,11,12,2016,
12/12/2016,12,12,2016,
12/13/2016,13,12,2016,
12/14/2016,14,12,2016,
12/15/2016,15,12,2016,
12/16/2016,16,12,2016,
12/17/2016,17,12,2016,
12/18/2016,18,12,2016,
12/19/2016,19,12,2016,
12/20/2016,20,12,2016,
12/21/2016,21,12,2016,
12/22/2016,22,12,2016,
12/23/2016,23,12,2016,
12/24/2016,24,12,2016,
12/25/2016,25,12,2016,
12/26/2016,26,12,2016,
12/27/2016,27,12,2016,
12/28/2016,28,12,2016,
12/29/2016,29,12,2016,
12/30/2016,30,12,2016,
12/31/2016,31,12,2016,
1/1/2017,1,1,2017,
1/2/2017,2,1,2017,
1/3/2017,3,1,2017,
1/4/2017,4,1,2017,
1/5/2017,5,1,2017,
1/6/2017,6,1,2017,
1/7/2017,7,1,2017,
1/8/2017,8,1,2017,
1/9/2017,9,1,2017,
1/10/2017,10,1,2017,
1/11/2017,11,1,2017,
1/12/2017,12,1,2017,
1/13/2017,13,1,2017,
1/14/2017,14,1,2017,
1/15/2017,15,1,2017,
1/16/2017,16,1,2017,
1/17/2017,17,1,2017,
1/18/2017,18,1,2017,
1/19/2017,19,1,2017,
1/20/2017,20,1,2017,
1/21/2017,21,1,2017,
1/22/2017,22,1,2017,
1/23/2017,23,1,2017,
1/24/2017,24,1,2017,
1/25/2017,25,1,2017,
1/26/2017,26,1,2017,
1/27/2017,27,1,2017,
1/28/2017,28,1,2017,
1/29/2017,29,1,2017,
1/30/2017,30,1,2017,
1/31/2017,31,1,2017,
2/1/2017,1,2,2017,
2/2/2017,2,2,2017,
2/3/2017,3,2,2017,
2/4/2017,4,2,2017,
2/5/2017,5,2,2017,
2/6/2017,6,2,2017,
2/7/2017,7,2,2017,
2/8/2017,8,2,2017,
2/9/2017,9,2,2017,
2/10/2017,10,2,2017,
2/11/2017,11,2,2017,
2/12/2017,12,2,2017,
2/13/2017,13,2,2017,
2/14/2017,14,2,2017,
2/15/2017,15,2,2017,
2/16/2017,16,2,2017,
2/17/2017,17,2,2017,
2/18/2017,18,2,2017,
2/19/2017,19,2,2017,
2/20/2017,20,2,2017,
2/21/2017,21,2,2017,
2/22/2017,22,2,2017,
2/23/2017,23,2,2017,
2/24/2017,24,2,2017,
2/25/2017,25,2,2017,
2/26/2017,26,2,2017,
2/27/2017,27,2,2017,
2/28/2017,28,2,2017,
3/1/2017,1,3,2017,
3/2/2017,2,3,2017,
3/3/2017,3,3,2017,
3/4/2017,4,3,2017,
3/5/2017,5,3,2017,
3/6/2017,6,3,2017,
3/7/2017,7,3,2017,
3/8/2017,8,3,2017,
3/9/2017,9,3,2017,
3/10/2017,10,3,2017,
3/11/2017,11,3,2017,
3/12/2017,12,3,2017,
3/13/2017,13,3,2017,
3/14/2017,14,3,2017,
3/15/2017,15,3,2017,
3/16/2017,16,3,2017,
3/17/2017,17,3,2017,
3/18/2017,18,3,2017,
3/19/2017,19,3,2017,
3/20/2017,20,3,2017,
3/21/2017,21,3,2017,
3/22/2017,22,3,2017,
3/23/2017,23,3,2017,
3/24/2017,24,3,2017,
3/25/2017,25,3,2017,
3/26/2017,26,3,2017,
3/27/2017,27,3,2017,
